business_id,name,latitude,longitude,stars,review_count,good_for_groups,price_range,wifi,good_for_dancing,good_for_kids,karaoke,jazz,dj,live,romantic,casual,trendy,classy,upscale,postal_code,city,address
rVBPQdeayMYht4Uv_FOLHg,Gourmet Burger Company,43.6332914,-79.5317683,3.0,13,True,2,False,False,True,False,False,False,False,False,False,False,False,False,M8Z,Toronto,843 Kipling Avenue
98hyK2QEUeI8v2y0AghfZA,Pho Lee's Vietnamese Restaurant,41.512155299999996,-81.663332,4.5,23,False,0,False,False,False,False,False,False,False,False,True,False,False,False,44114,Cleveland,"1541 E 38th St, Ste 101"
LoRef3ChgZKbxUio-sHgQg,Amir,45.49487015720001,-73.65190359270001,3.0,18,True,2,False,False,True,False,True,False,True,False,False,False,False,False,H4P,Montréal,5252 Rue Jean Talon O
tLpkSwdtqqoXwU0JAGnApw,Wendy's,41.434614,-81.5270257,3.5,7,True,1,False,False,True,False,False,False,True,False,True,False,False,False,44128,Cleveland,4602 Northfield Road
lK-wuiq8b1TuU7bfbQZgsg,Hingetown,41.4893428107,-81.711028698,3.0,4,False,4,False,False,True,False,False,False,False,False,True,False,False,False,44113,Cleveland,
0QjROMVW9ACKjhSEfHqNCQ,Mi Mi Restaurant,43.6663763388,-79.3487726589,4.0,116,True,1,False,False,True,False,False,True,True,False,False,False,True,False,M4M,Toronto,688 Gerrard Street E
6GHwgKNlvfIMUpFaxgBjUA,L'Artisan Piadineria,45.517368812,-73.5679399967,4.0,9,False,2,False,False,True,False,False,False,True,True,True,False,True,False,H2L,Montréal,3421 Rue Saint-Denis
Ir_QIzs-4o9ElOtiGuxJrw,Torteria Lupita,45.4736323,-73.58813470000003,4.0,19,True,2,False,False,True,False,False,False,False,False,False,False,False,False,H4C,Montréal,4601 Rue Notre-Dame O
0Y5Kzo8PWHTjk0tlfAKcDQ,Caballero,45.5206987494,-73.5726423331,3.5,3,True,2,True,False,True,False,False,False,False,False,False,False,False,False,H2L,Montréal,804www.caballerolounge.com Rue Roy E
UFU8ONTkzEkcOk61XJ8JwQ,Nickels,45.499435020600004,-73.5721168667,2.0,5,True,2,False,False,True,False,False,True,False,False,True,True,False,False,H3B,Montréal,1200 Rue Peel
8k62wYhDVq1-652YbJi5eg,Tim Hortons,43.6498592,-79.38206020000001,3.0,8,True,1,False,False,True,True,False,False,False,False,True,False,False,False,M5H,Toronto,90 Adelaide Street W
t749-3jKKDyO8QH3VezUHA,Chao Phraya,45.5223759924,-73.59312252699999,3.5,48,True,2,False,False,False,True,False,False,False,True,False,False,False,False,H2T,Montréal,50 Avenue Laurier O
0DnQh8SE8BSnvJltGCCiWg,Chick-N-Joy,43.765279,-79.32624799999998,3.0,11,True,2,False,False,True,False,False,False,False,False,False,False,True,False,M3A,Toronto,3-1265 York Mills Road
